ISO3,Roman,Country_Code,Map_Color_Code,STS_Code,UN_Link,M49_Description,M49_Code,x,y
FLK,Falkland Islands (Malvinas),AME,GBR,5,76,Falkland Islands (Malvinas),238,-58.75246778,-51.74562601
FRA,France,EUR,FRA,1,77,France,250,2.457288129,46.62660861
FRO,Faroe Islands,EUR,DNK,2,78,Faroe Islands,234,-7.122044325,62.21228119
FSM,Micronesia (Federated States of),OCE,FSM,1,79,"Micronesia, Federated States of",583,158.225216,6.880670092
GAB,Gabon,AFR,GAB,1,80,Gabon,266,11.78727747,-0.60687619
GBR,United Kingdom of Great Britain & Northern Ireland,EUR,GBR,1,81,United Kingdom,826,-2.23830539,53.27691757
GEO,Georgia,EUR,GEO,1,82,Georgia,268,43.3713615,42.04813028
GGY,Guernsey,EUR,GBR,2,83,Guernsey,831,-2.200712402,49.71561166
GHA,Ghana,AFR,GHA,1,84,Ghana,288,-1.205623522,7.964825185
GIB,Gibraltar,EUR,GBR,5,85,Gibraltar,292,-5.347561686,36.13895036
GIN,Guinea,AFR,GIN,1,86,Guinea,324,-11.28173419,11.00210343
GLP,Guadeloupe,AME,FRA,2,87,Guadeloupe,312,-61.64762116,16.14416917
GMB,Gambia,AFR,GMB,1,88,Gambia,270,-15.39944785,13.45295927
GNB,Guinea-Bissau,AFR,GNB,1,89,Guinea-Bissau,624,-14.40182514,12.11760394
GNQ,Equatorial Guinea,AFR,GNQ,1,90,Equatorial Guinea,226,10.46535826,1.565792376
GRC,Greece,EUR,GRC,1,91,Greece,300,22.58307827,39.47301873
GRD,Grenada,AME,GRD,1,92,Grenada,308,-61.68248568,12.11238395
GRL,Greenland,--,DNK,3,93,Greenland,304,-41.39371316,74.75625681
GTM,Guatemala,AME,GTM,1,94,Guatemala,320,-91.2312746,15.00273719
GUF,French Guiana,AME,FRA,2,95,French Guiana,254,-53.23619089,3.922673437
GUM,Guam,OCE,USA,5,96,Guam,316,144.7029305,13.35485404
GUY,Guyana,AME,GUY,1,97,Guyana,328,-58.97322037,4.788012784
HKG,Hong Kong,ASI,CHN,10,98,"Hong Kong, SAR China",344,114.0266445,22.41749934
HMD,Heard Island & McDonald Islands,AFR,AUS,2,99,Heard and Mcdonald Islands,334,73.52633626,-53.09106147
HND,Honduras,AME,HND,1,100,Honduras,340,-86.59974381,14.82243161
HRV,Croatia,EUR,HRV,1,101,Croatia,191,17.95874553,45.45172212
HTI,Haiti,AME,HTI,1,102,Haiti,332,-72.33640958,18.40426539
HUN,Hungary,EUR,HUN,1,103,Hungary,348,19.41221519,47.1651448
IDN,Indonesia,ASI,IDN,1,104,Indonesia,360,113.9174,-0.994582204
IMN,Isle of Man,EUR,GBR,2,105,Isle of Man,833,-4.538190305,54.22880901
IND,India,ASI,IND,1,106,India,356,79.3608464,22.34642074
IOT,British Indian Ocean Territory,ASI,GBR,2,107,British Indian Ocean Territory,86,72.38715553,-7.299281071
IRL,Ireland,EUR,IRL,1,108,Ireland,372,-7.121425272,53.25274054
IRN,Iran (Islamic Republic of),ASI,IRN,1,109,"Iran, Islamic Republic of",364,54.19766348,32.74370885
IRQ,Iraq,ASI,IRQ,1,110,Iraq,368,43.76606267,33.05013795
ISL,Iceland,EUR,ISL,1,111,Iceland,352,-19.02116966,64.79134763
ISR,Israel,ASI,ISR,1,112,Israel,376,34.62277992,31.06164552
ITA,Italy,EUR,ITA,1,113,Italy,380,12.57022427,42.79917282
JAM,Jamaica,AME,JAM,1,114,Jamaica,388,-77.31068409,18.15616857
JEY,Jersey,GBR,GBR,2,115,Jersey,832,-2.136773508,49.22353354
JOR,Jordan,ASI,JOR,1,116,Jordan,400,37.13024774,30.65365973
JPN,Japan,ASI,JPN,1,117,Japan,392,139.2716103,36.6554539
KAZ,Kazakhstan,ASI,KAZ,1,118,Kazakhstan,398,66.65359159,48.01963494
KEN,Kenya,AFR,KEN,1,119,Kenya,404,37.86096816,0.534797278
KGZ,Kyrgyzstan,ASI,KGZ,1,120,Kyrgyzstan,417,74.52324839,41.46204516
KHM,Cambodia,ASI,KHM,1,121,Cambodia,116,104.922836,12.71163737
KIR,Kiribati,OCE,KIR,1,122,Kiribati,296,-157.5643005,1.768837732
KNA,Saint Kitts & Nevis,AME,KNA,1,123,Saint Kitts and Nevis,659,-62.76628613,17.33994219
KOR,Republic of Korea,ASI,KOR,1,124,Korea (South),410,127.8610254,36.45201023
KWT,Kuwait,ASI,KWT,1,125,Kuwait,414,47.49305029,29.53949468
LAO,Lao People's Democratic Republic,ASI,LAO,1,126,Lao PDR,418,101.9901968,20.27482773
LBN,Lebanon,ASI,LBN,1,127,Lebanon,422,35.89391711,33.92152458
LBR,Liberia,AFR,LBR,1,128,Liberia,430,-9.311879038,6.448381009
LBY,Libya,AFR,LBY,1,129,Libya,434,18.0295985,27.04042819
LCA,Saint Lucia,AME,LCA,1,130,Saint Lucia,662,-60.96529553,13.89405601
LIE,Liechtenstein,EUR,LIE,1,131,Liechtenstein,438,9.552985019,47.14167005
LKA,Sri Lanka,ASI,LKA,1,132,Sri Lanka,144,80.70489654,7.614693343
LSO,Lesotho,AFR,LSO,1,133,Lesotho,426,28.25362195,-29.58041814
LTU,Lithuania,EUR,LTU,1,134,Lithuania,440,23.90517807,55.33680309
LUX,Luxembourg,EUR,LUX,1,135,Luxembourg,442,6.092656563,49.77679538
LVA,Latvia,EUR,LVA,1,136,Latvia,428,26.42461876,56.64196636
MAC,Macao,ASI,CHN,10,137,"Macao, SAR China",446,113.5665388,22.1237259
MAF,Saint Martin,AME,FRA,2,138,Saint Martin (French Part),663,-63.04505461,18.0882685
MAR,Morocco,AFR,MAR,1,139,Morocco,504,-6.281942841,31.8440131
MCO,Monaco,EUR,MCO,1,140,Monaco,492,7.424214814,43.73532918
MDA,Republic of Moldova,EUR,MDA,1,141,Moldova,498,28.4650624,47.20236795
MDG,Madagascar,AFR,MDG,1,142,Madagascar,450,46.6982339,-19.38514785
MDV,Maldives,ASI,MDV,1,143,Maldives,462,73.09672546,-0.614385021
MEX,Mexico,AME,MEX,1,144,Mexico,484,-102.5148166,23.93378032
MHL,Marshall Islands,OCE,MHL,1,145,Marshall Islands,584,171.0839119,7.110213497
MKD,The former Yugoslav Republic of Macedonia,EUR,MKD,1,146,"Macedonia, Republic of",807,21.7007909,41.60048068
MLI,Mali,AFR,MLI,1,147,Mali,466,-3.522016039,17.35311254
MLT,Malta,EUR,MLT,1,148,Malta,470,14.44617519,35.89194275
MMR,Myanmar,ASI,MMR,1,149,Myanmar,104,96.51752295,21.19332882
MNE,Montenegro,EUR,MNE,1,150,Montenegro,499,19.25214024,42.78717043
MNG,Mongolia,ASI,MNG,1,151,Mongolia,496,103.0728057,46.83892054
MNP,Northern Mariana Islands,OCE,USA,2,152,Northern Mariana Islands,580,145.7582114,15.19099517
MOZ,Mozambique,AFR,MOZ,1,153,Mozambique,508,38.18479941,-14.27963886
MRT,Mauritania,AFR,MRT,1,154,Mauritania,478,-10.33187259,20.26089546
MSR,Montserrat,AME,GBR,5,155,Montserrat,500,-62.19261223,16.73558313
MTQ,Martinique,AME,FRA,2,156,Martinique,474,-60.91544135,14.56086108
MUS,Mauritius,AFR,MUS,1,157,Mauritius,480,57.568022,-20.28581998
MWI,Malawi,AFR,MWI,1,158,Malawi,454,33.4884625,-13.40819859
MYS,Malaysia,ASI,MYS,1,159,Malaysia,458,116.8346314,5.452415309
MYT,Mayotte,AFR,FRA,2,160,Mayotte,175,45.14015057,-12.82217691
NAM,Namibia,AFR,NAM,1,161,Namibia,516,17.21907885,-22.13817068
NCL,New Caledonia,OCE,FRA,5,162,New Caledonia,540,165.5067368,-21.41742531
NER,Niger,AFR,NER,1,163,Niger,562,9.400167877,17.42143036
NFK,Norfolk Island,OCE,AUS,2,164,Norfolk Island,574,167.9515548,-29.03230018
NGA,Nigeria,AFR,NGA,1,165,Nigeria,566,8.097363256,9.585789025
NIC,Nicaragua,AME,NIC,1,166,Nicaragua,558,-85.03060315,12.84210839
NIU,Niue,OCE,NZL,2,167,Niue,570,-169.8601693,-19.05000475
